date,open,high,low,close,H,L_now,mode,stage,event,next_buy_level_name,next_buy_level_price,cutoff_price,position,basis,level_name,level_price,trigger_price,fill_price,rebound_from_L_pct,threshold_pct,forbidden_levels_above_last_sell,B1,B2,B3,B4,B5,B6,B7,next_buy_trigger_price
2024-10-18,151.1,158.6,150.3,156.0,302.5,150.3,wait,2,BUY B2,B2,157.3,,True,LOW,B2,157.3,150.3,157.3,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,150.3
2024-10-18,151.1,158.6,150.3,156.0,302.5,150.3,wait,2,,B2,157.3,,True,,,,,,5.522289,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,150.3
2024-10-19,156.0,162.5,154.6,161.0,302.5,150.3,wait,2,,B2,157.3,,True,,,,,,8.117099,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,154.6
2024-10-20,160.8,169.3,157.3,168.5,302.5,150.3,wait,2,,B2,157.3,,True,,,,,,12.641384,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,157.3
2024-10-21,168.5,173.4,161.6,167.3,302.5,150.3,wait,2,,B1,169.4,,True,,,,,,15.369261,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,161.6
2024-10-22,167.3,172.6,164.2,169.0,302.5,150.3,wait,2,,B1,169.4,,True,,,,,,14.836993,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,164.2
2024-10-23,169.1,175.5,162.9,172.4,302.5,150.3,wait,2,,B1,169.4,,True,,,,,,16.766467,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,162.9
2024-10-24,172.3,180.5,170.9,178.5,302.5,150.3,wait,,SELL S,,,176.3019,False,HIGH,,,176.3019,176.3019,,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,
2024-10-24,172.3,180.5,170.9,178.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,20.093147,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,170.9
2024-10-25,178.5,178.9,160.5,165.8,302.5,150.3,wait,1,BUY B1,B1,169.4,176.3019,True,LOW,B1,169.4,160.5,169.4,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,160.5
2024-10-25,178.5,178.9,160.5,165.8,302.5,150.3,wait,,SELL S,,,161.8731,False,HIGH,,,161.8731,161.8731,,7.7,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,
2024-10-25,178.5,178.9,160.5,165.8,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,19.028609,7.7,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,160.5
2024-10-26,165.8,174.5,163.6,172.1,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,163.6
2024-10-27,172.1,179.8,171.6,178.5,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,171.6
2024-10-28,178.1,181.3,174.2,180.1,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,174.2
2024-10-29,180.1,185.0,178.1,181.2,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,178.1
2024-10-30,181.2,183.0,174.6,176.5,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,174.6
2024-10-31,176.5,178.0,169.1,170.5,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,169.1
2024-11-01,170.5,175.7,165.1,167.8,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,165.1
2024-11-02,167.7,170.3,164.0,168.0,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,164.0
2024-11-03,168.0,168.3,159.0,164.2,302.5,150.3,wait,,,B7,63.525,161.8731,False,,,,,,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,159.0
2024-11-04,164.0,166.9,157.0,159.7,302.5,150.3,wait,2,BUY B2,B2,157.3,161.8731,True,LOW,B2,157.3,157.0,157.3,,,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,157.0
2024-11-04,164.0,166.9,157.0,159.7,302.5,150.3,wait,2,,B2,157.3,161.8731,True,,,,,,11.044578,17.3,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,157.0
2024-11-05,159.6,171.2,158.5,168.4,302.5,150.3,wait,2,,B7,63.525,161.8731,True,,,,,,13.905522,17.3,6,169.4,157.3,139.15,124.025,105.875,84.7,63.525,158.5
2024-11-06,168.3,191.6,168.3,188.6,302.5,150.3,wait,,SELL S,,,176.3019,False,HIGH,,,176.3019,176.3019,,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,
2024-11-06,168.3,191.6,168.3,188.6,302.5,150.3,wait,,,B1,169.4,176.3019,False,,,,,,27.478377,17.3,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,168.3
2024-11-07,188.6,199.9,187.7,198.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,187.7
2024-11-08,198.3,207.3,197.7,201.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,197.7
2024-11-09,202.2,205.4,197.0,202.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,197.0
2024-11-10,201.9,217.5,201.0,212.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,201.0
2024-11-11,212.6,225.9,206.5,224.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,206.5
2024-11-12,224.4,227.6,207.2,214.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,207.2
2024-11-13,214.3,222.9,203.0,217.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,203.0
2024-11-14,217.4,225.5,209.2,211.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,209.2
2024-11-15,211.8,223.3,206.8,221.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,206.8
2024-11-16,221.2,224.6,216.2,218.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,216.2
2024-11-17,218.6,245.4,215.0,240.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,215.0
2024-11-18,240.4,251.8,237.0,243.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,237.0
2024-11-19,242.6,251.0,237.0,240.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,237.0
2024-11-20,240.6,246.0,233.6,239.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,233.6
2024-11-21,238.9,263.7,231.9,260.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,231.9
2024-11-22,260.4,268.3,255.5,261.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,255.5
2024-11-23,260.9,267.9,256.1,258.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,256.1
2024-11-24,258.7,263.6,243.3,257.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,243.3
2024-11-25,257.0,260.7,234.7,237.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,234.7
2024-11-26,237.8,243.4,225.1,234.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,225.1
2024-11-27,234.6,247.1,231.5,246.1,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,231.5
2024-11-28,246.1,249.1,236.8,241.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,236.8
2024-11-29,241.7,250.9,240.5,247.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,240.5
2024-11-30,247.5,249.6,241.5,241.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,241.5
2024-12-01,241.6,243.9,238.1,240.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,238.1
2024-12-02,240.8,242.0,223.8,229.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,223.8
2024-12-03,229.6,243.9,218.4,238.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,218.4
2024-12-04,238.3,245.2,228.3,233.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,228.3
2024-12-05,233.4,249.3,227.1,240.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,227.1
2024-12-06,240.1,251.4,235.0,241.1,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,235.0
2024-12-07,241.1,248.0,238.4,242.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,238.4
2024-12-08,242.7,246.1,237.6,241.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,237.6
2024-12-09,241.5,241.8,207.1,220.9,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,207.1
2024-12-10,220.8,225.0,207.1,217.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,207.1
2024-12-11,217.7,235.1,215.3,231.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,215.3
2024-12-12,231.8,239.3,230.1,231.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,230.1
2024-12-13,231.6,233.0,225.1,229.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,225.1
2024-12-14,229.4,233.0,219.7,224.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,219.7
2024-12-15,224.3,230.3,220.0,229.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,220.0
2024-12-16,229.4,232.3,217.8,220.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,217.8
2024-12-17,220.6,233.7,216.0,228.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,216.0
2024-12-18,228.0,230.9,209.0,210.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,209.0
2024-12-19,210.7,216.5,190.2,197.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,190.2
2024-12-20,197.4,203.9,179.0,198.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,179.0
2024-12-21,198.5,206.2,182.4,185.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,182.4
2024-12-22,185.7,191.7,180.4,184.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,180.4
2024-12-23,184.3,198.0,180.3,194.5,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,180.3
2024-12-24,194.3,203.6,190.5,201.0,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,190.5
2024-12-25,201.1,206.2,199.5,201.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,199.5
2024-12-26,201.8,204.0,190.9,192.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,190.9
2024-12-27,192.7,198.6,186.9,188.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,186.9
2024-12-28,188.5,201.3,188.2,200.1,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,188.2
2024-12-29,200.1,202.3,192.9,194.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,192.9
2024-12-30,194.2,201.0,190.1,195.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,190.1
2024-12-31,195.7,203.7,192.6,193.9,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,192.6
2025-01-01,193.9,200.0,192.4,198.9,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,192.4
2025-01-02,199.3,215.4,198.0,212.9,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,198.0
2025-01-03,213.1,224.7,210.4,223.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,210.4
2025-01-04,223.1,223.1,218.3,221.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,218.3
2025-01-05,221.7,224.1,216.0,218.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,216.0
2025-01-06,218.9,228.4,216.6,223.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,216.6
2025-01-07,223.6,223.8,206.6,207.1,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,206.6
2025-01-08,207.0,208.5,192.8,202.3,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,192.8
2025-01-09,202.1,203.8,186.5,189.6,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,186.5
2025-01-10,190.0,197.6,187.7,192.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,187.7
2025-01-11,192.1,196.5,188.6,192.8,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,188.6
2025-01-12,192.8,195.8,189.7,193.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,189.7
2025-01-13,193.7,196.8,173.1,187.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,173.1
2025-01-14,187.1,194.8,186.2,192.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,186.2
2025-01-15,192.5,211.5,190.6,211.2,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,190.6
2025-01-16,211.2,222.7,203.7,216.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,203.7
2025-01-17,217.1,228.1,215.4,225.4,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,215.4
2025-01-18,225.4,277.5,223.3,268.7,302.5,150.3,wait,,,B7,63.525,176.3019,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,223.3
2025-01-19,268.7,302.5,241.8,258.6,302.5,,high,,RESTART_+98.5pct,,,,False,HIGH,,,298.3455,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,
2025-01-19,268.7,302.5,241.8,258.6,302.5,,high,,RESTART_+98.5pct,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,241.8
2025-01-20,258.7,280.3,235.1,248.4,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,235.1
2025-01-21,248.4,267.3,236.4,257.3,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,236.4
2025-01-22,257.1,279.3,255.4,264.6,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,255.4
2025-01-23,264.4,265.5,249.2,260.7,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,249.2
2025-01-24,260.7,277.8,254.4,260.5,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,254.4
2025-01-25,260.4,268.4,253.7,263.9,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,253.7
2025-01-26,264.0,268.0,247.5,247.6,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,247.5
2025-01-27,247.5,249.8,227.4,242.1,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,227.4
2025-01-28,241.8,253.9,231.7,233.9,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,231.7
2025-01-29,233.7,246.0,229.8,235.1,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,229.8
2025-01-30,235.6,252.3,234.0,246.2,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,234.0
2025-01-31,246.1,249.3,235.5,239.2,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,235.5
2025-02-01,239.2,241.7,219.6,219.6,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,219.6
2025-02-02,219.5,225.4,198.4,209.8,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,198.4
2025-02-03,210.0,225.0,180.0,222.9,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,180.0
2025-02-04,222.8,226.5,208.0,212.9,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,208.0
2025-02-05,213.1,215.8,201.2,202.3,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,201.2
2025-02-06,202.3,210.5,193.2,195.4,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,193.2
2025-02-07,195.4,210.2,194.2,198.6,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,194.2
2025-02-08,198.6,207.3,196.1,206.1,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,196.1
2025-02-09,206.1,214.2,199.4,207.2,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,199.4
2025-02-10,207.2,216.0,202.3,207.0,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,202.3
2025-02-11,206.8,213.1,201.6,204.8,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,201.6
2025-02-12,204.5,205.3,194.8,203.3,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,194.8
2025-02-13,203.1,205.1,195.2,201.1,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,195.2
2025-02-14,201.0,212.2,200.8,206.5,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,200.8
2025-02-15,206.4,207.3,199.2,201.2,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,199.2
2025-02-16,201.1,203.3,192.4,195.1,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,192.4
2025-02-17,194.9,196.1,180.9,183.6,302.5,,high,,,B7,63.525,,False,,,,,,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,180.9
2025-02-18,183.5,185.1,166.6,175.3,302.5,166.6,wait,1,BUY B1,B1,169.4,,True,LOW,B1,169.4,166.6,169.4,,,7,169.4,157.3,139.15,124.025,105.875,84.7,63.525,166.6
